iter	Passed	Remaining
0	312	312242
1	314	157165
2	319	106305
3	321	80162
4	323	64391
5	325	53905
6	327	46403
7	328	40762
8	330	36364
9	333	33002
10	336	30279
11	338	27877
12	340	25828
13	341	24060
14	343	22540
15	344	21200
16	348	20165
17	350	19137
18	352	18218
19	354	17368
20	355	16591
21	357	15884
22	358	15240
23	360	14647
24	367	14326
25	368	13817
26	370	13341
27	372	12919
28	373	12511
29	375	12128
30	376	11769
31	381	11528
32	382	11222
33	384	10922
34	385	10638
35	387	10371
36	388	10116
37	391	9898
38	397	9790
39	399	9581
40	401	9386
41	402	9185
42	404	9010
43	406	8831
44	410	8705
45	411	8542
46	413	8378
47	414	8217
48	415	8061
49	416	7909
50	417	7765
51	418	7628
52	419	7490
53	419	7356
54	420	7227
55	421	7104
56	422	6985
57	426	6934
58	428	6826
59	428	6716
60	429	6608
61	429	6505
62	430	6403
63	431	6306
64	431	6211
65	432	6119
66	433	6029
67	433	5943
68	434	5859
69	434	5778
70	435	5704
71	436	5630
72	437	5556
73	438	5483
74	441	5439
75	442	5374
76	443	5310
77	443	5244
78	444	5181
79	445	5119
80	445	5059
81	446	4999
82	446	4937
83	447	4879
84	448	4823
85	448	4769
86	449	4715
87	449	4663
88	450	4612
89	451	4562
90	452	4515
91	452	4467
92	453	4421
93	457	4413
94	458	4368
95	459	4323
96	459	4280
97	460	4237
98	460	4194
99	461	4153
100	462	4112
101	462	4073
102	463	4035
103	464	3998
104	464	3960
105	465	3924
106	465	3888
107	466	3852
108	467	3817
109	467	3783
110	468	3749
111	468	3717
112	471	3704
113	472	3674
114	473	3645
115	474	3615
116	474	3583
117	475	3553
118	476	3524
119	476	3495
120	477	3467
121	477	3437
122	478	3410
123	478	3382
124	479	3356
125	480	3329
126	480	3303
127	481	3278
128	481	3254
129	482	3230
130	483	3205
131	483	3181
132	488	3182
133	488	3159
134	489	3136
135	490	3113
136	490	3091
137	491	3071
138	492	3049
139	493	3028
140	493	3007
141	494	2984
142	494	2964
143	495	2943
144	495	2923
145	496	2903
146	497	2884
147	497	2865
148	498	2846
149	498	2827
150	499	2808
151	502	2805
152	503	2789
153	504	2773
154	505	2757
155	506	2739
156	507	2722
157	507	2705
158	508	2688
159	508	2672
160	509	2654
161	510	2638
162	510	2622
163	511	2606
164	511	2590
165	512	2574
166	513	2559
167	513	2543
168	514	2528
169	514	2513
170	515	2500
171	516	2488
172	517	2474
173	518	2460
174	518	2446
175	519	2432
176	520	2418
177	520	2404
178	521	2391
179	521	2377
180	522	2364
181	523	2350
182	523	2337
183	524	2324
184	524	2311
185	525	2299
186	526	2287
187	526	2275
188	527	2263
189	528	2251
190	530	2248
191	531	2237
192	532	2226
193	533	2215
194	533	2203
195	534	2193
196	535	2183
197	536	2172
198	536	2161
199	537	2150
200	538	2139
201	538	2128
202	539	2117
203	539	2106
204	540	2096
205	541	2085
206	541	2075
207	542	2064
208	542	2054
209	543	2044
210	548	2050
211	549	2040
212	549	2030
213	550	2021
214	550	2011
215	551	2001
216	552	1992
217	552	1982
218	553	1975
219	554	1966
220	555	1958
221	556	1951
222	558	1944
223	558	1935
224	560	1929
225	561	1922
226	562	1913
227	562	1905
228	563	1897
229	564	1888
230	564	1879
231	565	1871
232	565	1862
233	566	1854
234	566	1845
235	567	1837
236	568	1828
237	568	1821
238	569	1814
239	570	1806
240	571	1798
241	580	1817
242	581	1810
243	581	1802
244	582	1794
245	583	1787
246	583	1779
247	584	1771
248	584	1764
249	585	1756
250	586	1749
251	586	1741
252	587	1734
253	588	1729
254	590	1724
255	591	1718
256	592	1711
257	592	1704
258	593	1697
259	594	1690
260	594	1684
261	595	1678
262	596	1671
263	596	1664
264	597	1657
265	598	1650
266	598	1643
267	599	1636
268	599	1630
269	600	1623
270	605	1629
271	606	1622
272	606	1616
273	607	1609
274	608	1603
275	608	1596
276	609	1590
277	609	1583
278	610	1577
279	611	1571
280	611	1565
281	612	1558
282	612	1552
283	613	1546
284	614	1540
285	614	1534
286	615	1528
287	615	1522
288	618	1521
289	619	1516
290	620	1511
291	620	1505
292	621	1500
293	622	1494
294	623	1489
295	623	1483
296	624	1478
297	625	1472
298	625	1467
299	626	1461
300	627	1456
301	627	1450
302	628	1445
303	628	1439
304	629	1434
305	629	1428
306	630	1423
307	631	1418
308	636	1422
309	636	1417
310	637	1412
311	637	1406
312	638	1401
313	639	1396
314	639	1391
315	640	1385
316	640	1380
317	641	1376
318	642	1371
319	642	1366
320	643	1361
321	644	1356
322	644	1351
323	645	1346
324	645	1341
325	646	1336
326	649	1335
327	650	1332
328	651	1328
329	652	1324
330	652	1319
331	653	1315
332	654	1310
333	654	1305
334	655	1301
335	656	1296
336	656	1292
337	657	1287
338	658	1283
339	659	1279
340	660	1275
341	660	1271
342	666	1276
343	667	1272
344	668	1269
345	669	1265
346	670	1261
347	671	1257
348	672	1254
349	673	1250
350	673	1246
351	674	1241
352	675	1237
353	675	1233
354	678	1233
355	681	1232
356	682	1229
357	683	1226
358	684	1222
359	685	1218
360	685	1214
361	686	1210
362	687	1206
363	687	1201
364	688	1197
365	689	1193
366	689	1189
367	690	1185
368	690	1181
369	691	1177
370	695	1179
371	696	1176
372	697	1172
373	698	1168
374	698	1164
375	699	1160
376	699	1156
377	700	1152
378	700	1148
379	701	1144
380	702	1140
381	702	1136
382	703	1132
383	703	1129
384	704	1125
385	705	1122
386	706	1118
387	706	1114
388	707	1110
389	710	1110
390	710	1107
391	711	1103
392	712	1100
393	712	1096
394	714	1093
395	714	1090
396	715	1086
397	716	1083
398	716	1079
399	717	1075
400	717	1072
401	718	1068
402	719	1065
403	719	1061
404	720	1058
405	721	1055
406	721	1051
407	724	1051
408	725	1048
409	726	1045
410	727	1041
411	727	1038
412	728	1034
413	728	1031
414	729	1028
415	730	1024
416	730	1021
417	731	1018
418	732	1015
419	732	1011
420	733	1008
421	733	1005
422	734	1001
423	735	998
424	735	995
425	738	994
426	739	992
427	740	989
428	741	986
429	741	983
430	742	980
431	743	976
432	743	973
433	744	970
434	744	967
435	745	964
436	745	960
437	746	957
438	747	954
439	747	951
440	748	948
441	748	945
442	749	942
443	750	939
444	750	936
445	753	935
446	753	932
447	754	929
448	755	926
449	755	923
450	756	920
451	757	917
452	757	915
453	758	912
454	759	909
455	759	906
456	760	903
457	761	900
458	761	897
459	762	894
460	762	892
461	763	889
462	764	886
463	764	883
464	765	880
465	765	877
466	768	877
467	770	875
468	771	873
469	771	870
470	772	867
471	773	865
472	773	862
473	774	859
474	775	856
475	775	854
476	776	851
477	777	848
478	777	845
479	778	843
480	778	840
481	779	837
482	779	834
483	780	832
484	781	829
485	785	830
486	786	828
487	786	825
488	787	823
489	788	820
490	788	817
491	789	815
492	790	812
493	790	809
494	791	807
495	791	804
496	792	802
497	792	799
498	793	796
499	794	794
500	795	791
501	795	789
502	796	786
503	796	784
504	799	784
505	800	781
506	801	779
507	802	776
508	802	774
509	803	772
510	804	769
511	804	767
512	805	764
513	806	762
514	806	759
515	807	757
516	807	754
517	808	752
518	809	749
519	809	747
520	810	744
521	810	742
522	811	739
523	811	737
524	816	738
525	817	736
526	817	733
527	818	731
528	818	729
529	819	726
530	820	724
531	820	722
532	821	719
533	842	735
534	844	733
535	850	736
536	853	735
537	855	734
538	857	733
539	859	732
540	866	735
541	868	734
542	870	732
543	871	730
544	873	728
545	874	726
546	875	724
547	881	726
548	882	724
549	883	722
550	884	720
551	884	718
552	885	716
553	886	713
554	887	711
555	889	709
556	890	707
557	890	705
558	894	705
559	895	703
560	896	701
561	897	699
562	898	697
563	899	695
564	900	693
565	901	691
566	902	688
567	902	686
568	903	684
569	904	682
570	905	680
571	906	678
572	910	678
573	911	676
574	912	674
575	912	672
576	913	669
577	914	667
578	915	665
579	916	663
580	917	661
581	917	659
582	918	656
583	919	654
584	919	652
585	920	650
586	920	647
587	921	645
588	924	645
589	925	643
590	926	641
591	926	638
592	927	636
593	928	634
594	928	632
595	929	630
596	930	627
597	930	625
598	931	623
599	931	621
600	932	619
601	933	616
602	933	614
603	934	612
604	935	610
605	935	608
606	936	606
607	940	606
608	941	604
609	941	602
610	942	600
611	943	597
612	944	596
613	944	593
614	945	591
615	946	589
616	946	587
617	947	585
618	947	583
619	948	581
620	948	579
621	949	577
622	950	574
623	950	572
624	951	570
625	951	568
626	955	568
627	956	566
628	957	564
629	958	562
630	959	560
631	959	558
632	960	556
633	960	554
634	961	552
635	962	550
636	963	548
637	963	546
638	964	544
639	964	542
640	965	540
641	966	538
642	966	536
643	967	534
644	971	534
645	972	532
646	973	531
647	973	529
648	974	527
649	975	525
650	975	523
651	976	521
652	977	519
653	977	517
654	978	515
655	978	513
656	979	511
657	979	509
658	980	507
659	981	505
660	982	503
661	982	501
662	985	500
663	986	499
664	986	497
665	987	495
666	988	493
667	989	491
668	990	489
669	990	487
670	991	486
671	992	484
672	992	482
673	993	480
674	994	478
675	995	477
676	996	475
677	1001	475
678	1002	474
679	1003	472
680	1004	470
681	1005	468
682	1005	466
683	1006	465
684	1007	463
685	1007	461
686	1008	459
687	1009	457
688	1009	455
689	1010	454
690	1011	452
691	1011	450
692	1012	448
693	1013	446
694	1016	446
695	1017	444
696	1018	442
697	1019	440
698	1019	439
699	1020	437
700	1020	435
701	1021	433
702	1022	431
703	1022	429
704	1023	428
705	1023	426
706	1024	424
707	1025	422
708	1025	420
709	1026	419
710	1027	417
711	1027	415
712	1028	413
713	1029	412
714	1030	410
715	1030	408
716	1031	407
717	1032	405
718	1032	403
719	1033	401
720	1034	400
721	1034	398
722	1035	396
723	1035	394
724	1036	393
725	1037	391
726	1037	389
727	1038	387
728	1038	386
729	1039	384
730	1040	382
731	1041	381
732	1042	379
733	1043	378
734	1045	376
735	1046	375
736	1048	374
737	1052	373
738	1054	372
739	1055	370
740	1056	369
741	1057	367
742	1060	366
743	1061	365
744	1063	364
745	1065	362
746	1066	361
747	1068	359
748	1071	359
749	1072	357
750	1078	357
751	1081	356
752	1082	355
753	1084	353
754	1085	352
755	1086	350
756	1087	349
757	1088	347
758	1093	347
759	1094	345
760	1096	344
761	1097	342
762	1098	341
763	1099	339
764	1101	338
765	1102	336
766	1103	335
767	1109	335
768	1111	333
769	1113	332
770	1114	331
771	1115	329
772	1117	328
773	1118	326
774	1119	324
775	1119	323
776	1123	322
777	1124	320
778	1125	319
779	1127	317
780	1128	316
781	1129	314
782	1132	313
783	1133	312
784	1139	312
785	1141	310
786	1143	309
787	1144	307
788	1145	306
789	1146	304
790	1147	303
791	1148	301
792	1149	299
793	1150	298
794	1153	297
795	1155	296
796	1156	294
797	1158	293
798	1159	291
799	1161	290
800	1162	288
801	1163	287
802	1172	287
803	1173	286
804	1174	284
805	1175	283
806	1177	281
807	1178	280
808	1180	278
809	1185	278
810	1187	276
811	1188	275
812	1189	273
813	1190	272
814	1191	270
815	1193	269
816	1195	267
817	1202	267
818	1204	266
819	1208	265
820	1209	263
821	1214	263
822	1216	261
823	1218	260
